rank,gene_id,n_reactions,baseline_flux_sum,atp_after_ko,atp_impact,atp_impact_pct,complex
1,ENSMUSG00000020163,1,39.541263,2.102624,98.78968,97.916,Complex III
2,ENSMUSG00000061518,1,19.770631,2.102624,98.78968,97.916,Complex IV
3,ENSMUSG00000035885,1,19.770631,2.102624,98.78968,97.916,Complex IV
4,ENSMUSG00000017778,1,19.770631,2.102624,98.78968,97.916,Complex IV
5,ENSMUSG00000031231,1,19.770631,2.102624,98.78968,97.916,Complex IV
6,ENSMUSG00000024248,1,19.770631,2.102624,98.78968,97.916,Complex IV
7,ENSMUSG00000032330,1,19.770631,2.102624,98.78968,97.916,Complex IV
8,ENSMUSG00000074218,1,19.770631,2.102624,98.78968,97.916,Complex IV
9,ENSMUSG00000014313,1,19.770631,2.102624,98.78968,97.916,Complex IV
10,ENSMUSG00000051811,1,19.770631,2.102624,98.78968,97.916,Complex IV
11,ENSMUSG00000036751,1,19.770631,2.102624,98.78968,97.916,Complex IV
12,ENSMUSG00000030785,1,19.770631,2.102624,98.78968,97.916,Complex IV
13,ENSMUSG00000041697,1,19.770631,2.102624,98.78968,97.916,Complex IV
14,ENSMUSG00000000088,1,19.770631,2.102624,98.78968,97.916,Complex IV
15,ENSG00000184076,1,39.541263,2.102624,98.78968,97.916,Complex III
16,ENSMUSG00000009876,1,19.770631,2.102624,98.78968,97.916,Complex IV
17,ENSMUSG00000031818,1,19.770631,2.102624,98.78968,97.916,Complex IV
18,ENSMUSG00000042298,1,39.541263,2.102624,98.78968,97.916,Complex III
19,ENSMUSG00000059534,1,39.541263,2.102624,98.78968,97.916,Complex III
20,ENSG00000172115,1,39.541263,2.102624,98.78968,97.916,Complex III
21,ENSMUSG00000025651,1,39.541263,2.102624,98.78968,97.916,Complex III
22,ENSMUSG00000030884,1,39.541263,2.102624,98.78968,97.916,Complex III
23,ENSMUSG00000063882,1,39.541263,2.102624,98.78968,97.916,Complex III
24,ENSMUSG00000021520,1,39.541263,2.102624,98.78968,97.916,Complex III
25,ENSMUSG00000038462,1,39.541263,2.102624,98.78968,97.916,Complex III
26,ENSMUSG00000063694,1,39.541263,2.102624,98.78968,97.916,Complex III
27,ENSMUSG00000043319,1,19.770631,2.102624,98.78968,97.916,Complex IV
28,ENSG00000198712,1,19.770631,2.102624,98.78968,97.916,Complex IV
29,ENSG00000187581,1,19.770631,2.102624,98.78968,97.916,Complex IV
30,ENSG00000127184,1,19.770631,2.102624,98.78968,97.916,Complex IV
31,ENSG00000011295,1,39.541263,2.102624,98.78968,97.916,Complex III
32,ENSG00000156467,1,39.541263,2.102624,98.78968,97.916,Complex III
