regime,scenario,t_hours,delta_psi_mV,sumATP_c_mM
in_vivo_141h,A,0.0,175.0,5.0
in_vivo_141h,A,0.36180904522613067,165.6876338866603,4.7669462984663395
in_vivo_141h,A,0.7236180904522613,165.67515540050675,4.766540918416846
in_vivo_141h,A,1.085427135678392,165.66306941677973,4.766149238029035
in_vivo_141h,A,1.4472361809045227,165.65099151685527,4.765757208266365
in_vivo_141h,A,1.8090452261306533,165.63890404938792,4.765364138024976
in_vivo_141h,A,2.170854271356784,165.6268122657637,4.764970142909271
in_vivo_141h,A,2.532663316582915,165.61472341375284,4.764575496024744
in_vivo_141h,A,2.8944723618090453,165.6026298308292,4.764180277709498
in_vivo_141h,A,3.256281407035176,165.5905299668797,4.763783908215406
in_vivo_141h,A,3.6180904522613067,165.5784244087555,4.763386607099782
in_vivo_141h,A,3.9798994974874375,165.566315695768,4.762988433935747
in_vivo_141h,A,4.341708542713568,165.5542121093018,4.76258970983782
in_vivo_141h,A,4.703517587939698,165.54210401117948,4.762190106283883
in_vivo_141h,A,5.06532663316583,165.52998744373318,4.761789496069736
in_vivo_141h,A,5.42713567839196,165.51786568974956,4.761387976432896
in_vivo_141h,A,5.788944723618091,165.50573957276637,4.7609855570243305
in_vivo_141h,A,6.150753768844221,165.4936092495856,4.7605822514135925
in_vivo_141h,A,6.512562814070352,165.48147923078602,4.760178205923036
in_vivo_141h,A,6.874371859296483,165.46934763869828,4.759773359641411
in_vivo_141h,A,7.236180904522613,165.45721131906606,4.759367605179197
in_vivo_141h,A,7.597989949748744,165.44507153564285,4.758960985562028
in_vivo_141h,A,7.959798994974875,165.43292849984684,4.7585535079878305
in_vivo_141h,A,8.321608040201005,165.42078376063068,4.758145212054508
in_vivo_141h,A,8.683417085427136,165.4086372194994,4.757736095244106
in_vivo_141h,A,9.045226130653267,165.39648848490035,4.75732614754685
in_vivo_141h,A,9.407035175879397,165.3843360146001,4.756915312659375
in_vivo_141h,A,9.768844221105528,165.3721790815754,4.756503564039742
in_vivo_141h,A,10.13065326633166,165.3600185225405,4.756090932234454
in_vivo_141h,A,10.492462311557789,165.34785333507918,4.755677374361876
in_vivo_141h,A,10.85427135678392,165.33568233709485,4.755262839853971
in_vivo_141h,A,11.216080402010052,165.32350671766628,4.754847379577464
in_vivo_141h,A,11.577889447236181,165.31132647679343,4.754430993532355
in_vivo_141h,A,11.93969849246231,165.2991416144763,4.754013681718643
in_vivo_141h,A,12.301507537688442,165.28695822993765,4.75359563214672
in_vivo_141h,A,12.663316582914575,165.2747742299194,4.753176780291267
in_vivo_141h,A,13.025125628140705,165.26258841232706,4.752757089097362
in_vivo_141h,A,13.386934673366834,165.25040077716076,4.752336558565009
in_vivo_141h,A,13.748743718592966,165.238210183353,4.751915145804278
in_vivo_141h,A,14.110552763819097,165.22601203890366,4.751492678213169
in_vivo_141h,A,14.472361809045227,165.2138097904412,4.751069285341978
in_vivo_141h,A,14.834170854271356,165.20160343796564,4.750644967190703
in_vivo_141h,A,15.195979899497488,165.1893929814769,4.750219723759348
in_vivo_141h,A,15.55778894472362,165.17717805034752,4.749793518119531
in_vivo_141h,A,15.91959798994975,165.16495859062172,4.74936634489525
in_vivo_141h,A,16.281407035175878,165.15273479361116,4.748938223148299
in_vivo_141h,A,16.64321608040201,165.14050665931583,4.748509152878679
in_vivo_141h,A,17.005025125628144,165.12827426201014,4.748079136400577
in_vivo_141h,A,17.366834170854272,165.11604461561538,4.747648392248711
in_vivo_141h,A,17.728643216080403,165.10381317957535,4.747216778951693
in_vivo_141h,A,18.090452261306535,165.09157995389,4.746784296509525
in_vivo_141h,A,18.452261306532666,165.07934493855936,4.746350944922207
in_vivo_141h,A,18.814070351758794,165.06710561823078,4.745916638736398
in_vivo_141h,A,19.175879396984925,165.0548592535649,4.745481284889325
in_vivo_141h,A,19.537688442211056,165.04260868160213,4.745044979762932
in_vivo_141h,A,19.899497487437188,165.03035390234257,4.74460772335722
in_vivo_141h,A,20.26130653266332,165.0180949157862,4.744169515672192
in_vivo_141h,A,20.623115577889447,165.00583141158188,4.7437302783338815
in_vivo_141h,A,20.984924623115578,164.99356350342381,4.743290040053845
in_vivo_141h,A,21.34673366834171,164.98129124777,4.742848815089607
in_vivo_141h,A,21.70854271356784,164.96901464462044,4.742406603441171
in_vivo_141h,A,22.07035175879397,164.95673498106456,4.741963448695897
in_vivo_141h,A,22.432160804020103,164.944457013333,4.741519511923828
in_vivo_141h,A,22.793969849246235,164.93217712634652,4.741074670700086
in_vivo_141h,A,23.155778894472363,164.91989532010518,4.740628925024671
in_vivo_141h,A,23.517587939698494,164.9076115946089,4.740182274897581
in_vivo_141h,A,23.87939698492462,164.89532216300316,4.739734601226243
in_vivo_141h,A,24.241206030150757,164.8830266250551,4.739285891423759
in_vivo_141h,A,24.603015075376884,164.8707268371636,4.738836203871909
in_vivo_141h,A,24.964824120603016,164.85842279932865,4.738385538570693
in_vivo_141h,A,25.32663316582915,164.84611450593468,4.737933892845944
in_vivo_141h,A,25.68844221105528,164.83380169358443,4.737481141266072
in_vivo_141h,A,26.05025125628141,164.82148453403406,4.737027365622538
in_vivo_141h,A,26.412060301507537,164.80916302728355,4.736572565915341
in_vivo_141h,A,26.77386934673367,164.7968371733329,4.736116742144483
in_vivo_141h,A,27.1356783919598,164.78450943288007,4.735659982240821
in_vivo_141h,A,27.49748743718593,164.77218227654896,4.735202374489914
in_vivo_141h,A,27.85929648241206,164.7598530642534,4.734743824550622
in_vivo_141h,A,28.221105527638194,164.74752179599346,4.734284332422947
in_vivo_141h,A,28.582914572864325,164.73518847176913,4.7338238981068885
in_vivo_141h,A,28.944723618090453,164.72284805005054,4.73336237853713
in_vivo_141h,A,29.306532663316585,164.71050249098758,4.732899829337555
in_vivo_141h,A,29.668341708542712,164.69815263743138,4.7324362744260515
in_vivo_141h,A,30.030150753768847,164.68579848938182,4.731971713802621
in_vivo_141h,A,30.391959798994975,164.67344001839652,4.731506116084594
in_vivo_141h,A,30.753768844221106,164.66107712773518,4.731039374531573
in_vivo_141h,A,31.11557788944724,164.64870989189836,4.730571571345341
in_vivo_141h,A,31.47738693467337,164.6363383108861,4.7301027065259005
in_vivo_141h,A,31.8391959798995,164.62396238469833,4.72963278007325
in_vivo_141h,A,32.20100502512563,164.61158568803444,4.729161924162653
in_vivo_141h,A,32.562814070351756,164.59920846160995,4.728690147694618
in_vivo_141h,A,32.924623115577894,164.58682904229337,4.728217389174506
in_vivo_141h,A,33.28643216080402,164.57444743008472,4.727743648602318
in_vivo_141h,A,33.64824120603015,164.5620634389644,4.727268921356406
in_vivo_141h,A,34.01005025125629,164.549671340318,4.726793065109581
in_vivo_141h,A,34.37185929648241,164.5372748976949,4.726316173367072
in_vivo_141h,A,34.733668341708544,164.52487411109516,4.725838246128881
in_vivo_141h,A,35.095477386934675,164.51246898051875,4.725359283395007
in_vivo_141h,A,35.45728643216081,164.50005950782423,4.724879214418138
in_vivo_141h,A,35.81909547738694,164.48764569472846,4.72439797384412
in_vivo_141h,A,36.18090452261307,164.47522753933393,4.7239156339036095
in_vivo_141h,A,36.54271356783919,164.46280504164065,4.723432194596606
in_vivo_141h,A,36.90452261306533,164.45037820164862,4.722947655923108
in_vivo_141h,A,37.266331658291456,164.4379516308533,4.7224621907390905
in_vivo_141h,A,37.62814070351759,164.42552343572365,4.721975728067979
in_vivo_141h,A,37.989949748743726,164.41309291132112,4.721488241486056
in_vivo_141h,A,38.35175879396985,164.40066005764564,4.720999730993325
in_vivo_141h,A,38.71356783919598,164.38822364879502,4.7205101707711465
in_vivo_141h,A,39.07537688442211,164.37577983939153,4.720019479832303
in_vivo_141h,A,39.437185929648244,164.36333163164426,4.719527721406101
in_vivo_141h,A,39.798994974874375,164.35087902555324,4.719034895492541
in_vivo_141h,A,40.1608040201005,164.33842202111848,4.71854100209162
in_vivo_141h,A,40.52261306532664,164.32596071834024,4.718045922786116
in_vivo_141h,A,40.88442211055277,164.3134951202623,4.717549653971716
in_vivo_141h,A,41.246231155778894,164.30102518276323,4.717052247895653
in_vivo_141h,A,41.608040201005025,164.28855090584304,4.716553704557926
in_vivo_141h,A,41.969849246231156,164.27607250579155,4.716054032010299
in_vivo_141h,A,42.33165829145729,164.26359489024716,4.715553412948093
in_vivo_141h,A,42.69346733668342,164.25111481008383,4.715051726416975
in_vivo_141h,A,43.05527638190954,164.23863226530165,4.714548972416948
in_vivo_141h,A,43.41708542713568,164.2261472559005,4.714045150948009
in_vivo_141h,A,43.77889447236181,164.21365746160114,4.713540208127921
in_vivo_141h,A,44.14070351758794,164.20116091512185,4.713034098271865
in_vivo_141h,A,44.502512562814076,164.1886598713946,4.712526873744561
in_vivo_141h,A,44.86432160804021,164.17615433041945,4.712018534546012
in_vivo_141h,A,45.22613065326633,164.16364429219638,4.711509080676216
in_vivo_141h,A,45.58793969849247,164.15113028062802,4.710998406676233
in_vivo_141h,A,45.949748743718594,164.13861206949332,4.710486558083219
in_vivo_141h,A,46.311557788944725,164.12608958599586,4.709973549550726
in_vivo_141h,A,46.67336683417086,164.11356283013558,4.70945938107875
in_vivo_141h,A,47.03517587939699,164.1010328630819,4.708944094223228
in_vivo_141h,A,47.39698492462312,164.08850275971875,4.7084278093981835
in_vivo_141h,A,47.75879396984924,164.07597008475642,4.70791043123643
