objective,scenario,time_h,flux,normalized
atp,A,0.0,100.89230630458852,1.0000000241091969
atp,A,1.0,99.99113667081406,0.9910680283157779
atp,A,2.0,94.3790653994259,0.935443654047356
atp,A,3.0,89.08197548542371,0.8829412360164
atp,A,4.0,84.08218838363179,0.8333855522833046
atp,A,5.0,79.3630177693731,0.7866112153602574
atp,A,6.0,74.90871384941208,0.7424621202458747
atp,A,7.0,70.7044107984835,0.700790923439268
atp,A,8.0,66.73607714598269,0.661458551194808
atp,A,9.0,62.99046894723689,0.6243337353764283
atp,A,10.0,59.45508558307079,0.5892925753624206
atp,A,11.0,56.11812804015221,0.5562181245386298
atp,A,12.0,52.96845953288194,0.5249999999999999
atp,A,13.0,49.99556833540703,0.49553401415788895
atp,A,14.0,47.18953269971296,0.46772182702367815
atp,A,15.0,44.54098774271186,0.44147061800820003
atp,A,16.0,42.04109419181589,0.4166927761416522
atp,A,17.0,39.681508884686565,0.3933056076801288
atp,A,18.0,37.45435692470604,0.37123106012293733
atp,A,19.0,35.35220539924175,0.350395461719634
atp,A,20.0,33.36803857299135,0.3307292755974041
atp,A,21.0,31.495234473618446,0.31216686768821417
atp,A,22.0,29.727542791535395,0.2946462876812103
atp,A,23.0,28.0590640200761,0.2781090622693149
atp,A,24.0,26.48422976644097,0.26249999999999996
atp,A,25.0,24.99778416770351,0.24776700707894442
atp,A,26.0,23.59476634985648,0.23386091351183907
atp,A,27.0,22.270493871355928,0.2207353090041
atp,A,28.0,21.020547095907943,0.2083463880708261
atp,A,29.0,19.840754442343275,0.19665280384006434
atp,A,30.0,18.72717846235302,0.18561553006146866
atp,A,31.0,17.67610269962087,0.17519773085981694
atp,A,32.0,16.684019286495683,0.1653646377987021
atp,A,33.0,15.747617236809223,0.15608343384410708
atp,A,34.0,14.863771395767701,0.14732314384060521
atp,A,35.0,14.02953201003805,0.13905453113465746
atp,A,36.0,13.242114883220488,0.13125
atp,A,37.0,12.498892083851757,0.12388350353947224
atp,A,38.0,11.79738317492824,0.11693045675591954
atp,A,39.0,11.135246935677968,0.11036765450205002
atp,A,40.0,10.510273547953974,0.10417319403541307
atp,A,41.0,9.920377221171641,0.0983264019200322
atp,A,42.0,9.36358923117651,0.09280776503073433
atp,A,43.0,8.838051349810437,0.0875988654299085
atp,A,44.0,8.342009643247838,0.08268231889935103
atp,A,45.0,7.873808618404611,0.07804171692205354
atp,A,46.0,7.431885697883849,0.07366157192030258
atp,A,47.0,7.014766005019025,0.06952726556732873
atp,A,48.0,6.621057441610242,0.06562499999999999
atp,A,49.0,6.249446041925878,0.061941751769736104
atp,A,50.0,5.89869158746412,0.05846522837795977
atp,A,51.0,5.5676234678389855,0.05518382725102503
atp,A,52.0,5.255136773976988,0.05208659701770654
atp,A,53.0,4.96018861058582,0.04916320096001609
atp,A,54.0,4.681794615588255,0.046403882515367166
atp,A,55.0,4.419025674905218,0.04379943271495425
atp,A,56.0,4.171004821623921,0.04134115944967553
atp,A,57.0,3.9369043092023057,0.03902085846102677
atp,A,58.0,3.7159428489419244,0.03683078596015129
atp,A,59.0,3.507383002509513,0.034763632783664365
atp,A,60.0,3.310528720805121,0.032812499999999994
atp,A,61.0,3.124723020962939,0.030970875884868052
atp,A,62.0,2.9493457937320584,0.029232614188979867
atp,A,63.0,2.783811733919493,0.02759191362551252
atp,A,64.0,2.627568386988494,0.02604329850885327
atp,A,65.0,2.4800943052929103,0.02458160048000805
atp,A,66.0,2.340897307794129,0.023201941257683597
atp,A,67.0,2.209512837452609,0.021899716357477124
atp,A,68.0,2.0855024108119595,0.020670579724837757
atp,A,69.0,1.9684521546011529,0.019510429230513385
atp,A,70.0,1.8579714244709635,0.01841539298007566
atp,A,71.0,1.7536915012547571,0.01738181639183219
atp,A,72.0,1.655264360402561,0.01640625
atp,B,0.0,2.7508952307538035,1.0000008842338146
atp,B,1.0,2.726321901740435,0.9910680283157784
atp,B,2.0,2.5733052111543,0.9354436540473563
atp,B,3.0,2.4288766874984855,0.8829412360164004
atp,B,4.0,2.292554314001221,0.8333855522833047
atp,B,5.0,2.163883127413354,0.7866112153602578
atp,B,6.0,2.042433699610793,0.7424621202458749
atp,B,7.0,1.9278007044180663,0.7007909234392683
atp,B,8.0,1.8196015648698853,0.6614585511948081
atp,B,9.0,1.7174751763960978,0.6243337353764286
atp,B,10.0,1.6210807016687367,0.5892925753624207
atp,B,11.0,1.5300964330891365,0.55621812453863
atp,B,12.0,1.4442187191187195,0.5249999999999999
atp,B,13.0,1.363160950870217,0.495534014157889
atp,B,14.0,1.2866526055771503,0.46772182702367826
atp,B,15.0,1.2144383437492425,0.44147061800820014
atp,B,16.0,1.1462771570006107,0.4166927761416524
atp,B,17.0,1.0819415637066772,0.39330560768012895
atp,B,18.0,1.0212168498053966,0.37123106012293755
atp,B,19.0,0.9639003522090326,0.350395461719634
atp,B,20.0,0.9098007824349429,0.3307292755974041
atp,B,21.0,0.8587375881980491,0.3121668676882144
atp,B,22.0,0.8105403508343682,0.29464628768121026
atp,B,23.0,0.7650482165445681,0.2781090622693149
atp,B,24.0,0.7221093595593597,0.26249999999999996
atp,B,25.0,0.6815804754351086,0.24776700707894453
atp,B,26.0,0.643326302788575,0.23386091351183907
atp,B,27.0,0.6072191718746214,0.2207353090041001
atp,B,28.0,0.5731385785003053,0.20834638807082617
atp,B,29.0,0.5409707818533384,0.1966528038400644
atp,B,30.0,0.5106084249026983,0.18561553006146878
atp,B,31.0,0.4819501761045164,0.17519773085981702
atp,B,32.0,0.4549003912174716,0.16536463779870214
atp,B,33.0,0.4293687940990245,0.15608343384410717
atp,B,34.0,0.4052701754171842,0.1473231438406052
atp,B,35.0,0.3825241082722843,0.13905453113465754
atp,B,36.0,0.3610546797796799,0.13125
atp,B,37.0,0.3407902377175542,0.12388350353947222
atp,B,38.0,0.3216631513942875,0.11693045675591954
atp,B,39.0,0.30360958593731074,0.11036765450205008
atp,B,40.0,0.2865692892501527,0.1041731940354131
atp,B,41.0,0.2704853909266693,0.09832640192003224
atp,B,42.0,0.25530421245134916,0.09280776503073439
atp,B,43.0,0.24097508805225823,0.08759886542990852
atp,B,44.0,0.22745019560873572,0.08268231889935103
atp,B,45.0,0.21468439704951228,0.0780417169220536
atp,B,46.0,0.20263508770859215,0.07366157192030261
atp,B,47.0,0.19126205413614197,0.06952726556732872
atp,B,48.0,0.18052733988983993,0.06562499999999999
atp,B,49.0,0.17039511885877712,0.061941751769736125
atp,B,50.0,0.16083157569714376,0.05846522837795977
atp,B,51.0,0.1518047929686554,0.055183827251025046
atp,B,52.0,0.1432846446250764,0.05208659701770657
atp,B,53.0,0.13524269546333462,0.04916320096001611
atp,B,54.0,0.12765210622567458,0.046403882515367194
atp,B,55.0,0.12048754402612914,0.04379943271495427
atp,B,56.0,0.11372509780436792,0.041341159449675535
atp,B,57.0,0.10734219852475609,0.03902085846102678
atp,B,58.0,0.10131754385429603,0.03683078596015129
atp,B,59.0,0.09563102706807106,0.034763632783664386
atp,B,60.0,0.09026366994491995,0.032812499999999994
atp,B,61.0,0.08519755942938854,0.030970875884868056
atp,B,62.0,0.08041578784857185,0.029232614188979874
atp,B,63.0,0.0759023964843277,0.027591913625512523
atp,B,64.0,0.07164232231253818,0.026043298508853282
atp,B,65.0,0.06762134773166731,0.024581600480008056
atp,B,66.0,0.06382605311283732,0.023201941257683607
atp,B,67.0,0.06024377201306455,0.021899716357477127
atp,B,68.0,0.056862548902183944,0.020670579724837764
atp,B,69.0,0.05367109926237804,0.01951042923051339
atp,B,70.0,0.05065877192714806,0.01841539298007566
atp,B,71.0,0.04781551353403555,0.0173818163918322
atp,B,72.0,0.04513183497246002,0.01640625000000001
atp,C,0.0,1.3030178185906758,1.00000186677185
atp,C,1.0,1.2913794392618465,0.9910699850362525
atp,C,2.0,1.2189159017569073,0.9354577963585822
atp,C,3.0,1.1505194300999488,0.8829668799937214
atp,C,4.0,1.085961757424885,0.8334220523878069
atp,C,5.0,1.0250274285003786,0.7866579622843407
atp,C,6.0,0.9675130806680398,0.7425185388797466
atp,C,7.0,0.9132267651384554,0.7008564709515693
atp,C,8.0,0.8619873063799475,0.6615327152209631
atp,C,9.0,0.8136236974620787,0.6244160323086743
atp,C,10.0,0.7679745293359191,0.5893825487358133
atp,C,11.0,0.7248874521463491,0.5563153435076336
atp,C,12.0,0.6842186667785808,0.5251040579005811
atp,C,13.0,0.6458324449419791,0.4956445271503125
atp,C,14.0,0.6096006761895097,0.46783843281147747
atp,C,15.0,0.5754024403610304,0.441592974629047
atp,C,16.0,0.5431236040234981,0.4168205608260895
atp,C,17.0,0.5126564395612452,0.39343851577435657
atp,C,18.0,0.4838992656450757,0.37136880407205947
atp,C,19.0,0.45675610788028337,0.35053777010797077
atp,C,20.0,0.4311363785010295,0.3308758922426677
atp,C,21.0,0.4069545740420953,0.3123175507865234
atp,C,22.0,0.38412998997901526,0.29480080900009276
atp,C,23.0,0.36258645138423024,0.2782672063860029
atp,C,24.0,0.34225205870034614,0.2626615635824767
atp,C,25.0,0.3230589477820453,0.2479317982073424
atp,C,26.0,0.3049430634058105,0.2340287510379248
atp,C,27.0,0.287843945491571,0.22090602194670972
atp,C,28.0,0.27170452732280487,0.20851981504523093
atp,C,29.0,0.2564709450916783,0.19682879251936442
atp,C,30.0,0.24209235813359356,0.1857939366682159
atp,C,31.0,0.22852077925119754,0.17537841968617163
atp,C,32.0,0.21571091456157057,0.16554748075352008
atp,C,33.0,0.20362001233210342,0.1562683100254479
atp,C,34.0,0.1922062455210331,0.14750880731172913
atp,C,35.0,0.1814330310175521,0.13924089688033786
atp,C,36.0,0.17126447058270658,0.13143702860459464
atp,C,37.0,0.16166662759130443,0.124071157799569
atp,C,38.0,0.15260747013456794,0.11711870155617328
atp,C,39.0,0.1440567641166156,0.11055645669798864
atp,C,40.0,0.13598597235097756,0.10436252234282059
atp,C,41.0,0.128368159320389,0.09851622681054091
atp,C,42.0,0.12117790128200438,0.09299805863327622
atp,C,43.0,0.1143912014180202,0.08778960143769861
atp,C,44.0,0.10798540974852518,0.08287347248209077
atp,C,45.0,0.10193914753929845,0.07823326464306185
atp,C,46.0,0.09623171458625498,0.07385309153561216
atp,C,47.0,0.09084444644733769,0.06971862912162567
atp,C,48.0,0.08575954243548521,0.06581621625231594
atp,C,49.0,0.08096003215624555,0.062132828987496
atp,C,50.0,0.07642989769021949,0.05865617436457359
atp,C,51.0,0.07215402013474355,0.0553746493719311
atp,C,52.0,0.06811812914595756,0.05227730222495284
atp,C,53.0,0.06430875531285891,0.04935379581546209
atp,C,54.0,0.06071318520439534,0.04659437321258352
atp,C,55.0,0.057318935785095636,0.04398945430267932
atp,C,56.0,0.05411197475289545,0.04152826998646378
atp,C,57.0,0.051085006612830504,0.039205221331612854
atp,C,58.0,0.0482278740783214,0.037012513121978445
atp,C,59.0,0.045521051497774884,0.03493516038362957
atp,C,60.0,0.04296615119501023,0.03297440049552308
atp,C,61.0,0.04055464642776798,0.031123689603802723
atp,C,62.0,0.03827848902305861,0.029376851132907673
atp,C,63.0,0.036130082517133226,0.027728055171825684
atp,C,64.0,0.03410225680299197,0.026171799017307023
atp,C,65.0,0.03218824420081865,0.02470288880910409
atp,C,66.0,0.030381656871478223,0.02331642219594543
atp,C,67.0,0.028676465497697562,0.02200777197439418
atp,C,68.0,0.027066979161779584,0.02077257064598674
atp,C,69.0,0.02554782635269441,0.019606695841112645
atp,C,70.0,0.02411393703916072,0.018506256560989236
atp,C,71.0,0.022760525748887445,0.01746758019181479
atp,C,72.0,0.021483075597505116,0.01648720024776154
dpsi,A,0.0,88.68855701979183,1.0000104817747044
dpsi,A,1.0,87.89547203924111,0.9910680283157783
dpsi,A,2.0,82.9622782588717,0.9354436540473563
dpsi,A,3.0,78.30596337009996,0.8829412360164006
dpsi,A,4.0,73.91098735483095,0.8333855522833048
dpsi,A,5.0,69.76268238916641,0.786611215360258
dpsi,A,6.0,65.84720389090573,0.7424621202458751
dpsi,A,7.0,62.15148431453997,0.7007909234392681
dpsi,A,8.0,58.66318953953348,0.6614585511948086
dpsi,A,9.0,55.37067770634306,0.6243337353764286
dpsi,A,10.0,52.262960362794125,0.5892925753624209
dpsi,A,11.0,49.32966579114291,0.5562181245386302
dpsi,A,12.0,46.561004393432654,0.5250000000000001
dpsi,A,13.0,43.94773601962056,0.49553401415788917
dpsi,A,14.0,41.48113912943585,0.46772182702367815
dpsi,A,15.0,39.15298168504998,0.4414706180082003
dpsi,A,16.0,36.955493677415475,0.4166927761416524
dpsi,A,17.0,34.88134119458321,0.393305607680129
dpsi,A,18.0,32.923601945452866,0.37123106012293755
dpsi,A,19.0,31.075742157269985,0.35039546171963404
dpsi,A,20.0,29.33159476976674,0.3307292755974043
dpsi,A,21.0,27.685338853171537,0.3121668676882144
dpsi,A,22.0,26.131480181397063,0.29464628768121043
dpsi,A,23.0,24.664832895571454,0.2781090622693151
dpsi,A,24.0,23.280502196716327,0.26250000000000007
dpsi,A,25.0,21.973868009810275,0.24776700707894453
dpsi,A,26.0,20.740569564717934,0.23386091351183916
dpsi,A,27.0,19.57649084252499,0.22073530900410016
dpsi,A,28.0,18.477746838707738,0.2083463880708262
dpsi,A,29.0,17.440670597291597,0.19665280384006442
dpsi,A,30.0,16.461800972726433,0.18561553006146878
dpsi,A,31.0,15.537871078634991,0.17519773085981702
dpsi,A,32.0,14.665797384883371,0.16536463779870217
dpsi,A,33.0,13.842669426585767,0.15608343384410717
dpsi,A,34.0,13.065740090698533,0.14732314384060524
dpsi,A,35.0,12.332416447785727,0.13905453113465754
dpsi,A,36.0,11.640251098358165,0.13125000000000003
dpsi,A,37.0,10.98693400490514,0.12388350353947229
dpsi,A,38.0,10.370284782358961,0.11693045675591952
dpsi,A,39.0,9.788245421262495,0.11036765450205008
dpsi,A,40.0,9.238873419353869,0.1041731940354131
dpsi,A,41.0,8.720335298645804,0.09832640192003227
dpsi,A,42.0,8.230900486363216,0.09280776503073439
dpsi,A,43.0,7.768935539317496,0.08759886542990851
dpsi,A,44.0,7.332898692441683,0.08268231889935106
dpsi,A,45.0,6.921334713292884,0.0780417169220536
dpsi,A,46.0,6.532870045349266,0.07366157192030261
dpsi,A,47.0,6.166208223892863,0.06952726556732876
dpsi,A,48.0,5.820125549179082,0.06562500000000002
dpsi,A,49.0,5.493467002452569,0.06194175176973613
dpsi,A,50.0,5.185142391179481,0.05846522837795976
dpsi,A,51.0,4.89412271063125,0.05518382725102507
dpsi,A,52.0,4.619436709676935,0.052086597017706564
dpsi,A,53.0,4.360167649322901,0.049163200960016126
dpsi,A,54.0,4.115450243181608,0.046403882515367194
dpsi,A,55.0,3.8844677696587495,0.043799432714954276
dpsi,A,56.0,3.6664493462208427,0.04134115944967554
dpsi,A,57.0,3.460667356646441,0.039020858461026785
dpsi,A,58.0,3.266435022674632,0.03683078596015129
dpsi,A,59.0,3.083104111946432,0.03476363278366439
dpsi,A,60.0,2.910062774589541,0.03281250000000001
dpsi,A,61.0,2.746733501226284,0.030970875884868063
dpsi,A,62.0,2.5925711955897395,0.02923261418897987
dpsi,A,63.0,2.447061355315625,0.027591913625512533
dpsi,A,64.0,2.3097183548384677,0.026043298508853282
dpsi,A,65.0,2.1800838246614505,0.024581600480008063
dpsi,A,66.0,2.057725121590805,0.023201941257683607
dpsi,A,67.0,1.9422338848293745,0.021899716357477134
dpsi,A,68.0,1.8332246731104211,0.020670579724837768
dpsi,A,69.0,1.7303336783232206,0.019510429230513392
dpsi,A,70.0,1.6332175113373175,0.018415392980075662
dpsi,A,71.0,1.5415520559732165,0.0173818163918322
dpsi,A,72.0,1.4550313872947713,0.01640625000000001
dpsi,B,0.0,2.2132683150183157,0.9999999999999996
dpsi,B,1.0,2.193499465098989,0.9910680283157789
dpsi,B,2.0,2.0703877999879703,0.9354436540473567
dpsi,B,3.0,1.9541858616982093,0.8829412360164008
dpsi,B,4.0,1.8445058370626801,0.8333855522833052
dpsi,B,5.0,1.7409816791949089,0.7866112153602582
dpsi,B,6.0,1.6432678858415153,0.7424621202458753
dpsi,B,7.0,1.5510383463005604,0.7007909234392687
dpsi,B,8.0,1.4639852530573916,0.6614585511948089
dpsi,B,9.0,1.3818180745056805,0.624333735376429
dpsi,B,10.0,1.3042625853251903,0.5892925753624212
dpsi,B,11.0,1.2310599512802625,0.5562181245386303
dpsi,B,12.0,1.161965865384617,0.5250000000000004
dpsi,B,13.0,1.0967497325494946,0.49553401415788945
dpsi,B,14.0,1.0351938999939854,0.4677218270236785
dpsi,B,15.0,0.9770929308491046,0.4414706180082004
dpsi,B,16.0,0.9222529185313401,0.4166927761416526
dpsi,B,17.0,0.8704908395974544,0.3933056076801291
dpsi,B,18.0,0.8216339429207576,0.37123106012293766
dpsi,B,19.0,0.7755191731502802,0.35039546171963437
dpsi,B,20.0,0.7319926265286958,0.33072927559740445
dpsi,B,21.0,0.6909090372528403,0.3121668676882145
dpsi,B,22.0,0.652131292662595,0.29464628768121054
dpsi,B,23.0,0.6155299756401312,0.27810906226931514
dpsi,B,24.0,0.5809829326923085,0.2625000000000002
dpsi,B,25.0,0.5483748662747473,0.24776700707894472
dpsi,B,26.0,0.5175969499969927,0.23386091351183924
dpsi,B,27.0,0.4885464654245523,0.2207353090041002
dpsi,B,28.0,0.46112645926567003,0.2083463880708263
dpsi,B,29.0,0.43524541979872716,0.19665280384006453
dpsi,B,30.0,0.4108169714603788,0.18561553006146883
dpsi,B,31.0,0.3877595865751399,0.1751977308598171
dpsi,B,32.0,0.36599631326434795,0.16536463779870225
dpsi,B,33.0,0.3454545186264201,0.15608343384410725
dpsi,B,34.0,0.3260656463312976,0.1473231438406053
dpsi,B,35.0,0.3077649878200657,0.13905453113465763
dpsi,B,36.0,0.29049146634615425,0.1312500000000001
dpsi,B,37.0,0.27418743313737365,0.12388350353947236
dpsi,B,38.0,0.25879847499849623,0.11693045675591957
dpsi,B,39.0,0.2442732327122762,0.11036765450205012
dpsi,B,40.0,0.23056322963283502,0.10417319403541316
dpsi,B,41.0,0.2176227098993637,0.09832640192003232
dpsi,B,42.0,0.2054084857301894,0.09280776503073442
dpsi,B,43.0,0.19387979328757005,0.08759886542990859
dpsi,B,44.0,0.18299815663217392,0.0826823188993511
dpsi,B,45.0,0.17272725931321006,0.07804171692205362
dpsi,B,46.0,0.1630328231656488,0.07366157192030265
dpsi,B,47.0,0.15388249391003278,0.06952726556732877
dpsi,B,48.0,0.14524573317307712,0.06562500000000004
dpsi,B,49.0,0.13709371656868682,0.06194175176973618
dpsi,B,50.0,0.12939923749924812,0.05846522837795978
dpsi,B,51.0,0.12213661635613812,0.055183827251025074
dpsi,B,52.0,0.11528161481641752,0.052086597017706585
dpsi,B,53.0,0.10881135494968182,0.04916320096001615
dpsi,B,54.0,0.1027042428650947,0.04640388251536721
dpsi,B,55.0,0.09693989664378502,0.043799432714954296
dpsi,B,56.0,0.09149907831608699,0.04134115944967556
dpsi,B,57.0,0.08636362965660503,0.03902085846102681
dpsi,B,58.0,0.08151641158282437,0.03683078596015132
