reaction_id,flux,abs_flux
H2Otm,-114.67141256780822,114.67141256780822
OF_ATP_mitoMap,100.89230387215602,100.89230387215602
Biomass_mitoMap,-100.89230387215602,100.89230387215602
EX_biomass_e,100.89230387215602,100.89230387215602
ATPtmB_mitoMap,99.925651698243,99.925651698243
PIt2mB_mitoMap,99.91665169824303,99.91665169824303
CV_mitoMap,93.39326039389518,93.39326039389518
CIII_mitoMap,39.54126295443687,39.54126295443687
CI_mitoMap,29.368522781566263,29.368522781566263
EX_o2_e,-19.8,19.8
O2t,19.8,19.8
O2tm,19.8,19.8
CIV_mitoMap,19.770631477218434,19.770631477218434
CO2tm,-16.67978260869565,16.67978260869565
EX_co2_e,16.63678260869565,16.63678260869565
CO2t,-16.63678260869565,16.63678260869565
EX_h2o_e,15.026434782608717,15.026434782608717
H2Ot,-15.026434782608716,15.026434782608716
MDHm,9.12839130434782,9.12839130434782
ICDHxm,6.8973913043478206,6.8973913043478206
ACONTm,6.89739130434782,6.89739130434782
CII_mitoMap,6.849391304347827,6.849391304347827
FUMm,6.849391304347827,6.849391304347827
AKGDm,6.822391304347827,6.822391304347827
CSm,6.801391304347826,6.801391304347826
SUCOASm,-6.575391304347833,6.575391304347833
PDHm,2.6080000000000023,2.6080000000000023
Hct_mitoMap,2.568673913043489,2.568673913043489
AKGMALtm,2.4999999999999956,2.4999999999999956
PYRt2m,2.489999999999996,2.489999999999996
ASPTA,2.395000000000001,2.395000000000001
MDH,-2.3950000000000005,2.3950000000000005
ASPTAm,-2.231000000000001,2.231000000000001
ASPGLUmB_mitoMap,2.2310000000000008,2.2310000000000008
PYK,1.9059999999999946,1.9059999999999946
Hmt_mitoMap,-1.902262954436874,1.902262954436874
ENO,1.8100000000000003,1.8100000000000003
PGM,-1.8100000000000003,1.8100000000000003
PGK,-1.8100000000000003,1.8100000000000003
GAPD,1.8100000000000003,1.8100000000000003
EX_h_e,-1.7884109586066146,1.7884109586066146
TPI,0.9100000000000001,0.9100000000000001
PFK,0.9,0.9
PGI,0.9,0.9
FBA,0.9,0.9
EX_glc_D_e,-0.9,0.9
HEX1,0.9,0.9
GLCt1r,0.9,0.9
ACACT1rm,-0.6776739130434777,0.6776739130434777
LDH_L,0.5750000000000001,0.5750000000000001
L_LACt2r,0.575,0.575
EX_lac_L_e,-0.575,0.575
ECOAH1m,-0.4996739130434777,0.4996739130434777
HACD1m,-0.49967391304347764,0.49967391304347764
ADK1,0.4696739130434784,0.4696739130434784
r1447_mitoMap,0.46967391304347833,0.46967391304347833
ACADLC16_mitoMap,0.46967391304347833,0.46967391304347833
r0660,-0.46967391304347833,0.46967391304347833
MTPC14_mitoMap,0.46967391304347833,0.46967391304347833
ACADLC14_mitoMap,0.46967391304347833,0.46967391304347833
MTPC16_mitoMap,0.46967391304347833,0.46967391304347833
PPA,0.46967391304347833,0.46967391304347833
C160CPT1,0.46967391304347833,0.46967391304347833
r0728,-0.4696739130434783,0.4696739130434783
C160CPT2,0.4696739130434783,0.4696739130434783
r2435,0.4696739130434783,0.4696739130434783
FACOAL160i,0.4696739130434783,0.4696739130434783
