rank,gene_id,species,n_reactions,atp_after_ko,atp_impact,atp_impact_pct,complex
1,ENSMUSG00000038462,mouse,1,2.097072,98.795232,97.9215,Complex III
2,ENSMUSG00000017778,mouse,1,2.097072,98.795232,97.9215,Complex IV
3,ENSMUSG00000022551,mouse,1,2.097072,98.795232,97.9215,Complex III
4,ENSMUSG00000063694,mouse,1,2.097072,98.795232,97.9215,Complex III
5,ENSMUSG00000021520,mouse,1,2.097072,98.795232,97.9215,Complex III
6,ENSMUSG00000063882,mouse,1,2.097072,98.795232,97.9215,Complex III
7,ENSMUSG00000030884,mouse,1,2.097072,98.795232,97.9215,Complex III
8,ENSMUSG00000025651,mouse,1,2.097072,98.795232,97.9215,Complex III
9,ENSMUSG00000020163,mouse,1,2.097072,98.795232,97.9215,Complex III
10,ENSMUSG00000059534,mouse,1,2.097072,98.795232,97.9215,Complex III
11,ENSMUSG00000000088,mouse,1,2.097072,98.795232,97.9215,Complex IV
12,ENSMUSG00000061518,mouse,1,2.097072,98.795232,97.9215,Complex IV
13,ENSMUSG00000014313,mouse,1,2.097072,98.795232,97.9215,Complex IV
14,ENSMUSG00000031231,mouse,1,2.097072,98.795232,97.9215,Complex IV
15,ENSMUSG00000042298,mouse,1,2.097072,98.795232,97.9215,Complex III
16,ENSMUSG00000061904,mouse,1,3.73845,97.153854,96.2946,Other
17,ENSMUSG00000005683,mouse,1,4.998539,95.893765,95.0457,Other
18,ENSMUSG00000025428,mouse,1,7.558664,93.333639,92.5082,Complex V
19,ENSMUSG00000050856,mouse,1,7.558664,93.333639,92.5082,Complex V
20,ENSMUSG00000025393,mouse,1,7.558664,93.333639,92.5082,Complex V
21,ENSMUSG00000038717,mouse,1,7.558664,93.333639,92.5082,Complex V
22,ENSMUSG00000038690,mouse,1,7.558664,93.333639,92.5082,Complex V
23,ENSMUSG00000022890,mouse,1,7.558664,93.333639,92.5082,Complex V
24,ENSMUSG00000022956,mouse,1,7.558664,93.333639,92.5082,Complex V
25,ENSMUSG00000034566,mouse,1,7.558664,93.333639,92.5082,Complex V
26,ENSMUSG00000016252,mouse,1,7.558664,93.333639,92.5082,Complex V
27,ENSMUSG00000025781,mouse,1,7.558664,93.333639,92.5082,Complex V
28,ENSMUSG00000000563,mouse,1,7.558664,93.333639,92.5082,Complex V
29,ENSMUSG00000003072,mouse,1,7.558664,93.333639,92.5082,Complex V
30,ENSMUSG00000028648,mouse,1,14.985882,85.906422,85.1467,Complex I
31,ENSMUSG00000022354,mouse,1,14.985882,85.906422,85.1467,Complex I
32,ENSMUSG00000026895,mouse,1,14.985882,85.906422,85.1467,Complex I
33,ENSMUSG00000036199,mouse,1,14.985882,85.906422,85.1467,Complex I
34,ENSMUSG00000022820,mouse,1,14.985882,85.906422,85.1467,Complex I
35,ENSMUSG00000002379,mouse,1,14.985882,85.906422,85.1467,Complex I
