k_damage,scenario,baseline_atp,effective_t_half,ros_modifier,transit_window
0.0,A,100.89230387215602,12.0,1.0,29.0
0.0,B,2.7508927983213702,12.0,1.0,29.0
0.0,C,1.3030153861582427,12.0,1.0,29.0
1.0,A,100.89230387215602,12.0,1.0,29.0
1.0,B,2.7508927983213702,6.019761844438815,1.9934343434343433,15.0
1.0,C,1.3030153861582427,6.000757671423159,1.9997474747474748,15.0
3.0,A,100.89230387215602,12.0,1.0,29.0
3.0,B,2.7508927983213702,3.01484583174724,3.9803030303030305,8.0
3.0,C,1.3030153861582427,3.0005682894487595,3.999242424242424,8.0
5.0,A,100.89230387215602,12.0,1.0,29.0
5.0,B,2.7508927983213702,2.0110029623360135,5.967171717171717,5.0
5.0,C,1.3030153861582427,2.0004209640075774,5.998737373737374,5.0
10.0,A,100.89230387215602,12.0,1.0,29.0
10.0,B,2.7508927983213702,1.097459584295612,10.934343434343434,3.0
10.0,C,1.3030153861582427,1.0911595866819748,10.997474747474747,3.0
