intervention,scenario,baseline_tw,intervention_tw,delta_tw,fold_extension,ci_low,ci_high
cold_chain,A,5.0,72.0,67.0,14.4,72.0,72.0
mitoq_selective,A,5.0,5.14,0.13999999999999968,1.028,4.0,6.0
mitoq_uniform,A,5.0,6.58,1.58,1.316,5.225,8.0
substrate_supp,A,5.0,5.68,0.6799999999999997,1.136,5.0,7.0
cold_chain,B,5.68,72.0,66.32,12.67605633802817,72.0,72.0
mitoq_selective,B,5.68,6.26,0.5800000000000001,1.102112676056338,5.0,8.0
mitoq_uniform,B,5.68,7.58,1.9000000000000004,1.3345070422535212,6.0,10.0
substrate_supp,B,5.68,5.68,0.0,1.0,5.0,7.0
cold_chain,C,5.74,72.0,66.26,12.543554006968641,72.0,72.0
mitoq_selective,C,5.74,5.82,0.08000000000000007,1.0139372822299653,4.0,8.0
mitoq_uniform,C,5.74,7.68,1.9399999999999995,1.337979094076655,6.0,10.774999999999999
substrate_supp,C,5.74,5.68,-0.0600000000000005,0.989547038327526,5.0,7.0
