ensembl_id,found,gene_symbol,full_name,uniprot,GO_biological_process,GO_molecular_function,GO_cellular_component,kegg_pathways,reactome_pathways,omim,subcellular_location,pfam_domains,summary,atp_impact_pct,complex,category
ENSMUSG00000038462,True,Uqcrfs1,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",Q9CR68,"mitochondrial electron transport, ubiquinol to cytochrome c; response to xenobiotic stimulus; response to hormone; respiratory electron transport chain; proton transmembrane transport",protein binding; quinol-cytochrome-c reductase activity; oxidoreductase activity; protein-containing complex binding; protein-containing complex binding,mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Cardiac muscle contraction - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF00355; PF02921; PF09165,,97.9215,Complex III,CIII structural
ENSMUSG00000020163,True,Uqcr11,"ubiquinol-cytochrome c reductase, complex III subunit XI",Q9CPX8,"mitochondrial electron transport, ubiquinol to cytochrome c; mitochondrial electron transport, ubiquinol to cytochrome c; cellular respiration",,mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Cardiac muscle contraction - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF08997,,97.9215,Complex III,CIII structural
ENSMUSG00000017778,True,Cox7c,cytochrome c oxidase subunit 7C,P17665,"oxidative phosphorylation; mitochondrial electron transport, cytochrome c to oxygen; mitochondrial electron transport, cytochrome c to oxygen",protein binding,mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial membrane,Oxidative phosphorylation - Mus musculus (mouse); Cardiac muscle contraction - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Generic Transcription Pathway,,,PF02935,,97.9215,Complex IV,CIV structural
ENSMUSG00000042298,True,Ttc19,tetratricopeptide repeat domain 19,Q8CC21,mitochondrial respiratory chain complex III assembly; mitochondrial respiratory chain complex III assembly; mitochondrial respiratory chain complex III assembly; mitochondrial respiratory chain complex III assembly,protein binding,mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane,,Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF13374; PF13424,,97.9215,Complex III,Other mitochondrial
ENSMUSG00000031231,True,Cox7b,cytochrome c oxidase subunit 7B,P56393,"oxidative phosphorylation; mitochondrial electron transport, cytochrome c to oxygen; central nervous system development; central nervous system development",molecular_function,mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial membrane,Oxidative phosphorylation - Mus musculus (mouse); Cardiac muscle contraction - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Generic Transcription Pathway,,,PF05392,,97.9215,Complex IV,CIV structural
ENSMUSG00000014313,True,Cox6c,cytochrome c oxidase subunit 6C,Q9CPQ1,oxidative phosphorylation; biological_process,molecular_function,mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Cardiac muscle contraction - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Generic Transcription Pathway,,,PF02937,,97.9215,Complex IV,CIV structural
ENSMUSG00000000088,True,Cox5a,cytochrome c oxidase subunit 5A,P12787,"oxidative phosphorylation; mitochondrial electron transport, cytochrome c to oxygen; mitochondrial electron transport, cytochrome c to oxygen; proton transmembrane transport",cytochrome-c oxidase activity; cytochrome-c oxidase activity; protein binding,mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Cardiac muscle contraction - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Generic Transcription Pathway,,,PF02284,,97.9215,Complex IV,CIV structural
ENSMUSG00000059534,True,Uqcr10,"ubiquinol-cytochrome c reductase, complex III subunit X",Q8R1I1,"mitochondrial electron transport, ubiquinol to cytochrome c; mitochondrial electron transport, ubiquinol to cytochrome c; mitochondrial electron transport, ubiquinol to cytochrome c; cellular respiration",,mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Cardiac muscle contraction - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF05365,,97.9215,Complex III,CIII structural
ENSMUSG00000061518,True,Cox5b,cytochrome c oxidase subunit 5B,,"oxidative phosphorylation; mitochondrial electron transport, cytochrome c to oxygen; mitochondrial electron transport, cytochrome c to oxygen",,acrosomal vesicle; mitochondrion; mitochondrion; mitochondrion; mitochondrion,Oxidative phosphorylation - Mus musculus (mouse); Cardiac muscle contraction - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse),,,,PF01215,,97.9215,Complex IV,CIV structural
ENSMUSG00000025651,True,Uqcrc1,ubiquinol-cytochrome c reductase core protein 1,Q9CZ13,"mitochondrial electron transport, ubiquinol to cytochrome c; mitochondrial electron transport, ubiquinol to cytochrome c; response to activity; mitochondrial respiratory chain complex III assembly; response to alkaloid",protein binding; ubiquitin protein ligase binding; ubiquitin protein ligase binding; protein-containing complex binding; protein-containing complex binding,mitochondrion; mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Cardiac muscle contraction - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF00675; PF05193,,97.9215,Complex III,CIII structural
